Section,Question,Answer
Basic Accounts,What is a Savings Account?,An account designed for individuals to park their money while earning a small amount of interest.
Basic Accounts,What is a Current Account?,An account meant for businesses with no limit on the number of daily transactions; it usually offers no interest.
Basic Accounts,What is a Fixed Deposit (FD)?,An investment where you lock a sum of money for a specific period at a higher interest rate than a savings account.
Basic Accounts,What does KYC stand for?,Know Your Customer. It's a process to verify the identity and address of customers.
Basic Accounts,What is a Check/Cheque?,A written document that orders a bank to pay a specific amount of money from a person's account to another person.
Basic Accounts,What is a Bounced Cheque?,A cheque that the bank refuses to pay because there isn't enough money in the account.
Basic Accounts,What is a Demand Draft (DD)?,A pre-paid instrument issued by a bank to make a payment to a third party; it is more secure than a cheque.
Basic Accounts,What is an Overdraft?,"A facility that allows an account holder to withdraw more money than they actually have in their account, up to a certain limit."
Basic Accounts,What is a Joint Account?,An account opened in the name of two or more individuals.
Basic Accounts,What is a Nominee?,A person designated by the account holder to receive the funds in the account in the event of the holder's death.
Basic Accounts,What is a Recurring Deposit (RD)?,A savings scheme where a fixed amount is deposited every month for a fixed tenure to earn interest.
Basic Accounts,What is a Zero Balance Account?,A bank account that does not require the account holder to maintain a minimum balance.
Basic Accounts,What is a Minor Account?,"A bank account opened for a person below 18 years of age, usually operated by a guardian."
Basic Accounts,What is a Senior Citizen Account?,A special savings account for individuals above 60 years offering higher interest rates and extra benefits.
Basic Accounts,What is an NRI Account?,A bank account opened by a Non-Resident Indian to manage earnings in India or abroad.
Basic Accounts,What is account number?,A unique number assigned to each bank account used to identify the account holder for transactions.
Basic Accounts,What is a bank passbook?,"A booklet given by the bank that records all deposits, withdrawals and the current balance of the account."
Basic Accounts,What is a cheque book?,A booklet of pre-printed cheques issued by a bank to an account holder for making payments.
Basic Accounts,What is interest in a savings account?,"A small percentage of money the bank pays you for keeping your money in a savings account, usually 2-4% per annum."
Basic Accounts,What is a dormant account?,An account with no customer-initiated transactions for over 2 years; it gets frozen for security reasons.
Digital Banking,What is a Debit Card?,A card linked directly to your bank account; money is deducted instantly when you spend.
Digital Banking,What is a Credit Card?,"A card that allows you to borrow money from the bank up to a limit to make purchases, which you pay back later."
Digital Banking,What is a PIN?,Personal Identification Number; a secret code used to authorize card transactions.
Digital Banking,What is an ATM?,Automated Teller Machine; a machine that lets you withdraw cash and check balances without a human teller.
